nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Hill,Phillip,44,168.2,74.9,H,non,bac,Île-de-France,non,oui,5245.0,célibataire,2.0,0.79,2023-06-26,577.0,867.952,32408.309271881208
Hernandez,Martin,71,160.3,45.5,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,3792.0,célibataire,0.0,0.13,2023-06-13,580.0,700.914,17975.461375021725
Alexander,Christopher,22,170.8,60.9,F,non,master,Bretagne,oui,oui,714.0,célibataire,0.0,0.46,2023-03-01,772.0,699.57,500.0
Fernandez,Justin,28,161.6,81.2,F,oui,master,Hauts-de-France,oui,oui,500.0,célibataire,2.0,0.66,2021-12-28,356.0,837.7660000000002,500.0
Young,Lisa,24,169.1,68.1,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3440.0,marié,2.0,0.14,2022-09-17,633.0,868.476,18070.091787237645
Wilson,Dennis,53,158.2,84.3,F,oui,doctorat,Hauts-de-France,oui,oui,885.0,divorcé,3.0,0.48,2020-11-05,375.0,684.7860000000001,12373.56023523041
Taylor,Jeffery,57,158.9,57.3,H,oui,master,Île-de-France,oui,oui,3114.0,célibataire,4.0,0.5,2022-05-19,646.0,767.006,20050.690685912497
Farmer,Angela,45,188.0,87.6,F,non,bac,Occitanie,oui,oui,1840.0,célibataire,2.0,0.52,2021-03-02,434.0,596.0,500.0
Scott,Tara,37,164.6,95.1,H,oui,aucun,Auvergne-Rhône-Alpes,non,non,2050.0,marié,5.0,0.5,2025-01-03,634.0,679.878,500.0
Moreno,Dennis,35,170.6,83.3,F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,3911.0,divorcé,3.0,0.67,2022-02-26,581.0,865.49,500.0
Stewart,Emily,34,157.9,73.9,F,non,aucun,Île-de-France,oui,oui,3821.0,marié,5.0,0.04,2020-07-30,557.0,1141.89,500.0
Ramirez,Peggy,74,155.1,65.4,H,non,bac+2,Normandie,oui,oui,500.0,veuf,2.0,0.22,2022-10-02,577.0,654.534,500.0
Becker,Norma,32,167.1,76.5,H,non,doctorat,Île-de-France,oui,non,4635.0,célibataire,5.0,0.8,2020-10-05,557.0,566.954,1986.2237285384024
Brown,Nicholas,51,152.9,70.6,F,oui,master,Provence-Alpes-Côte d’Azur,non,non,500.0,divorcé,4.0,0.96,2022-09-04,576.0,713.5759999999999,500.0
Crosby,Nicole,22,170.3,84.1,H,non,aucun,Hauts-de-France,oui,oui,900.0,veuf,3.0,0.14,2022-05-02,581.0,889.7240000000002,500.0
Watts,Michael,58,172.7,76.4,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,3853.0,marié,2.0,0.4,2024-10-28,656.0,794.824,500.0
Smith,Molly,66,156.9,73.7,H,non,doctorat,Corse,non,non,1672.0,célibataire,5.0,0.12,2024-04-08,620.0,929.684,500.0
Hogan,William,44,166.2,56.4,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2350.0,célibataire,4.0,0.08,2020-08-11,576.0,1065.788,12238.402238366429
Moore,Mallory,28,180.5,73.1,H,oui,master,Île-de-France,non,non,2182.0,marié,3.0,0.02,2024-12-17,581.0,844.0419999999998,18547.59442206578
Herman,Angela,33,184.1,68.2,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,923.0,veuf,3.0,0.57,2021-07-22,581.0,1052.648,500.0
Miles,Tracy,46,180.0,80.4,F,non,master,Hauts-de-France,oui,non,2214.0,divorcé,3.0,0.86,2025-06-09,464.0,988.656,500.0
Sharp,Patricia,52,166.9,66.4,F,non,bac,Corse,non,non,1959.0,divorcé,5.0,0.5,2025-06-05,557.0,641.038,500.0
Mueller,Meghan,24,172.9,42.6,F,non,bac+2,Île-de-France,oui,oui,1389.0,célibataire,1.0,0.6,2021-06-04,553.0,793.17,1366.7152302536567
Diaz,John,30,153.3,66.0,F,oui,master,Corse,oui,non,1809.0,veuf,4.0,0.28,2025-03-16,763.0,864.0200000000001,500.0
Martin,Melanie,20,161.2,37.6,F,oui,master,Bretagne,oui,oui,4778.0,veuf,0.0,0.4,2021-06-23,580.0,731.4459999999999,28396.908742389693
Morgan,Lance,47,188.7,73.5,F,non,bac,Hauts-de-France,oui,oui,3838.0,célibataire,2.0,0.5,2022-08-27,577.0,610.236,500.0
Mejia,Paul,64,169.6,60.7,F,non,master,Île-de-France,non,oui,2071.0,veuf,3.0,0.6,2021-05-20,581.0,739.762,16528.519173978777
Cox,Hunter,39,190.1,82.8,F,oui,bac,Occitanie,non,oui,2783.0,veuf,1.0,0.83,2021-04-30,357.0,577.66,12733.330382969947
Hale,Christopher,31,181.1,69.4,H,oui,master,Hauts-de-France,oui,oui,2600.0,divorcé,5.0,0.98,2025-05-12,557.0,1040.518,6156.501558240514
Taylor,Stacy,26,159.7,99.5,H,non,doctorat,Occitanie,oui,non,3008.0,célibataire,4.0,0.05,2024-07-23,484.0,672.558,500.0
Martinez,David,28,160.2,92.5,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,non,500.0,célibataire,0.0,0.4,2024-05-08,805.0,713.5759999999999,500.0
Frank,Vanessa,62,184.7,67.1,F,oui,master,Île-de-France,non,oui,4278.0,célibataire,5.0,0.7,2022-01-12,455.0,830.5880000000001,31072.702663736723
Estrada,Marcus,34,174.5,75.3,H,non,aucun,Occitanie,oui,oui,2537.0,divorcé,0.0,0.97,2025-04-03,580.0,844.8399999999999,500.0
Coleman,Diana,37,164.1,74.1,F,non,master,Auvergne-Rhône-Alpes,non,non,4525.0,veuf,2.0,0.81,2024-12-10,761.0,949.24,10946.391315339892
Peterson,Catherine,75,176.9,66.4,F,oui,doctorat,Occitanie,oui,non,1859.0,célibataire,4.0,0.02,2021-10-06,576.0,547.03,500.0
Holland,Dorothy,34,181.6,66.8,H,oui,bac+2,Hauts-de-France,oui,oui,1566.0,célibataire,5.0,0.28,2020-05-22,418.0,335.202,1992.4825524566772
Baker,Roy,55,172.2,91.8,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,3929.0,marié,5.0,0.4,2025-05-29,506.0,901.632,15002.912094814255
Fields,Sarah,44,168.8,56.1,H,non,master,Normandie,oui,oui,3214.0,marié,2.0,0.82,2020-04-25,402.0,678.442,10488.968596578909
Johnson,Scott,70,165.1,77.1,H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,3865.0,célibataire,3.0,0.52,2024-07-06,581.0,1128.66,37282.162849122215
Beck,Ronald,54,180.3,75.4,H,oui,aucun,Normandie,non,oui,1851.0,marié,2.0,0.67,2023-10-12,577.0,348.33,10767.439217607673
Herring,William,56,177.9,61.9,F,non,aucun,Bretagne,non,oui,1770.0,veuf,3.0,0.83,2022-11-08,352.0,265.2039,4161.441442592443
Perez,Jeffrey,33,168.1,88.1,H,oui,master,Bretagne,non,oui,1083.0,marié,4.0,0.49,2022-01-29,576.0,562.484,20879.755904736496
Nichols,Elizabeth,33,193.19399999999996,42.5,H,oui,bac,Normandie,oui,oui,3041.0,marié,1.0,0.66,2021-03-13,553.0,627.58,11145.183005926978
Barber,Jodi,34,163.0,81.6,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,non,2741.0,divorcé,0.0,0.6,2022-07-22,573.0,884.098,500.0
Garner,Samuel,47,167.4,59.2,F,oui,doctorat,Bretagne,oui,oui,3059.0,veuf,2.0,0.69,2022-02-05,577.0,879.924,28698.200373046937
Lopez,Kenneth,26,184.2,77.3,F,oui,aucun,Hauts-de-France,oui,oui,2663.0,célibataire,2.0,0.51,2023-11-30,843.0,748.46,500.0
