nom,prenom,niveau_etude,region,smoker,revenu_estime_mois,historique_credits,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Hill,Phillip,bac,Île-de-France,non,5245.0,2.0,2023-06-26,577.0,867.952,32408.309271881208
Hernandez,Martin,doctorat,Auvergne-Rhône-Alpes,oui,3792.0,0.0,2023-06-13,580.0,700.914,17975.461375021725
Alexander,Christopher,master,Bretagne,oui,714.0,0.0,2023-03-01,772.0,699.57,500.0
Fernandez,Justin,master,Hauts-de-France,oui,500.0,2.0,2021-12-28,356.0,837.7660000000002,500.0
Young,Lisa,doctorat,Provence-Alpes-Côte d’Azur,oui,3440.0,2.0,2022-09-17,633.0,868.476,18070.091787237645
Wilson,Dennis,doctorat,Hauts-de-France,oui,885.0,3.0,2020-11-05,375.0,684.7860000000001,12373.56023523041
Taylor,Jeffery,master,Île-de-France,oui,3114.0,4.0,2022-05-19,646.0,767.006,20050.690685912497
Farmer,Angela,bac,Occitanie,oui,1840.0,2.0,2021-03-02,434.0,596.0,500.0
Scott,Tara,aucun,Auvergne-Rhône-Alpes,non,2050.0,5.0,2025-01-03,634.0,679.878,500.0
Moreno,Dennis,aucun,Provence-Alpes-Côte d’Azur,non,3911.0,3.0,2022-02-26,581.0,865.49,500.0
Stewart,Emily,aucun,Île-de-France,oui,3821.0,5.0,2020-07-30,557.0,1141.89,500.0
Ramirez,Peggy,bac+2,Normandie,oui,500.0,2.0,2022-10-02,577.0,654.534,500.0
Becker,Norma,doctorat,Île-de-France,oui,4635.0,5.0,2020-10-05,557.0,566.954,1986.2237285384024
Brown,Nicholas,master,Provence-Alpes-Côte d’Azur,non,500.0,4.0,2022-09-04,576.0,713.5759999999999,500.0
Crosby,Nicole,aucun,Hauts-de-France,oui,900.0,3.0,2022-05-02,581.0,889.7240000000002,500.0
Watts,Michael,bac,Provence-Alpes-Côte d’Azur,oui,3853.0,2.0,2024-10-28,656.0,794.824,500.0
Smith,Molly,doctorat,Corse,non,1672.0,5.0,2024-04-08,620.0,929.684,500.0
Hogan,William,aucun,Auvergne-Rhône-Alpes,non,2350.0,4.0,2020-08-11,576.0,1065.788,12238.402238366429
Moore,Mallory,master,Île-de-France,non,2182.0,3.0,2024-12-17,581.0,844.0419999999998,18547.59442206578
Herman,Angela,bac,Provence-Alpes-Côte d’Azur,oui,923.0,3.0,2021-07-22,581.0,1052.648,500.0
Miles,Tracy,master,Hauts-de-France,oui,2214.0,3.0,2025-06-09,464.0,988.656,500.0
Sharp,Patricia,bac,Corse,non,1959.0,5.0,2025-06-05,557.0,641.038,500.0
Mueller,Meghan,bac+2,Île-de-France,oui,1389.0,1.0,2021-06-04,553.0,793.17,1366.7152302536567
