nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalite_francaise,orientation_sexuelle,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Davila,Kathleen,42,169.7,63.4,H,oui,master,Provence-Alpes-Côte d’Azur,non,non,het,2,19.5,2091.0,célibataire,3.0,0.92,2020-10-17,575.0,1010.6120000000001,500.0
Deleon,James,31,163.8,64.9,H,oui,doctorat,Bretagne,oui,oui,hom,1,238.7,1540.0,divorcé,3.0,0.9,2023-08-29,818.0,980.9780000000001,22143.694141361557
Hernandez,Eric,68,165.0,52.8,H,oui,master,Normandie,oui,non,het,3,220.7,1684.0,marié,4.0,0.36,2023-09-24,414.0,740.572,4324.856803286908
Roberson,Emily,57,171.9,36.1,H,oui,aucun,Bretagne,non,non,het,2,202.5,3140.0,veuf,0.0,0.37,2020-11-17,629.0,708.0880000000001,500.0
Watts,Sara,35,181.1,63.5,F,non,aucun,Normandie,oui,oui,het,0,344.3,4089.0,marié,2.0,0.96,2020-09-14,516.0,709.0939999999999,500.0
Brown,Lauren,25,187.4,43.0,H,non,master,Hauts-de-France,oui,non,het,-1,287.2,3158.0,célibataire,3.0,0.42,2021-12-16,575.0,670.704,500.0
Black,Judith,34,160.0,84.2,H,non,aucun,Île-de-France,non,oui,het,1,215.1,1959.0,célibataire,3.0,0.54,2025-05-29,575.0,773.356,10854.07936402302
White,Joanna,26,173.2,51.2,H,oui,aucun,Bretagne,oui,oui,het,3,83.6,1824.0,célibataire,1.0,0.2,2020-07-28,582.0,881.48,8454.336007043335
Alvarado,Jordan,55,180.5,99.2,F,non,master,Île-de-France,oui,oui,het,2,329.2,500.0,marié,2.0,0.96,2021-05-17,458.0,675.32,6793.452284371787
Williams,Austin,28,186.2,62.2,H,non,bac,Île-de-France,non,non,het,2,260.4,1447.0,veuf,5.0,0.4,2021-12-10,809.0,332.49399999999997,500.0
Evans,Zachary,66,186.1,85.4,H,non,master,Hauts-de-France,oui,non,het,2,266.0,2886.0,divorcé,0.0,0.83,2020-12-22,560.0,986.11,500.0
Rodriguez,Terri,74,179.0,53.9,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,2,188.7,867.0,marié,4.0,0.78,2023-02-16,573.0,734.1319999999998,10699.741376669954
Fuller,Carol,59,176.7,68.4,F,non,doctorat,Auvergne-Rhône-Alpes,oui,non,hom,2,469.5,3307.0,divorcé,5.0,0.25,2023-11-20,578.0,782.188,500.0
Gibson,Lisa,48,173.1,69.6,F,oui,doctorat,Corse,oui,oui,het,0,250.4,3327.0,célibataire,4.0,0.24,2024-02-19,326.0,787.2900000000001,931.2893411604468
Moran,Christian,23,173.4,53.3,F,non,doctorat,Occitanie,non,non,het,0,174.7,1878.0,célibataire,5.0,0.89,2024-08-14,578.0,759.104,500.0
Wilson,Benjamin,56,173.0,50.5,H,non,bac+2,Corse,non,oui,het,0,302.9,3511.0,divorcé,0.0,0.35,2025-05-28,560.0,667.42,6275.995657375264
Mathews,Evelyn,54,160.4,52.9,F,oui,bac,Corse,non,non,het,2,192.3,2292.0,veuf,1.0,0.09,2024-04-22,582.0,1225.01,500.0
Williams,Benjamin,39,165.8,68.7,H,oui,aucun,Hauts-de-France,oui,oui,het,2,337.8,4301.0,divorcé,1.0,0.82,2021-02-17,570.0,972.1659999999999,6527.309924135625
Hill,Zachary,38,179.0,90.4,F,non,bac,Auvergne-Rhône-Alpes,non,non,het,0,251.6,3880.0,marié,3.0,0.61,2020-08-07,575.0,861.302,500.0
Reynolds,Amy,21,172.4,79.9,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,het,0,195.7,5297.0,marié,2.0,0.91,2022-07-25,570.0,714.7259999999999,500.0
Salas,Robert,48,174.3,73.1,F,non,bac+2,Île-de-France,oui,oui,het,1,270.1,2944.0,célibataire,2.0,0.3,2020-08-14,542.0,860.3220000000001,4878.983510459015
Keith,Dylan,24,168.4,81.5,H,oui,master,Auvergne-Rhône-Alpes,oui,oui,hom,0,116.2,500.0,veuf,3.0,0.68,2021-11-27,578.0,842.04,9005.3984759165
Woods,Kelly,70,168.4,55.6,H,non,bac,Île-de-France,non,oui,het,2,422.9,891.0,veuf,1.0,0.72,2020-03-29,582.0,1262.05,4648.262954564732
Tran,Brandy,61,156.7,69.0,H,non,doctorat,Bretagne,non,non,het,1,159.6,3018.0,veuf,3.0,0.36,2024-04-18,328.0,889.7639999999999,500.0
Taylor,Christopher,63,187.3,43.5,H,non,master,Hauts-de-France,non,non,het,3,179.8,4921.0,veuf,4.0,0.12,2020-12-20,573.0,840.086,500.0
Cole,James,72,163.5,86.0,H,oui,aucun,Corse,non,oui,het,1,143.1,2369.0,veuf,4.0,0.7,2021-12-26,573.0,1011.5,500.0
Boone,Donna,59,169.7,81.3,H,non,bac,Île-de-France,oui,non,het,2,432.7,4242.0,célibataire,3.0,0.78,2023-06-12,849.0,765.9480000000001,525.9216548946995
Walton,Jennifer,18,171.1,68.0,H,oui,aucun,Occitanie,non,oui,het,-1,250.9,2803.0,célibataire,2.0,0.25,2023-10-31,570.0,853.842,5283.578467374318
Stafford,Alicia,19,181.7,94.7,H,non,aucun,Occitanie,non,oui,het,2,255.2,3256.0,célibataire,0.0,0.65,2022-03-18,473.0,828.76,500.0
Cuevas,Jeffrey,69,170.8,81.9,F,non,bac,Hauts-de-France,oui,oui,het,4,264.9,3717.0,veuf,2.0,0.56,2022-01-21,570.0,735.546,13170.559304605247
Vaughn,Aaron,67,162.0,71.4,H,oui,master,Corse,oui,oui,het,2,134.7,3439.0,veuf,0.0,0.06,2021-08-22,361.0,893.418,942.2444110939668
Zamora,William,68,156.5,64.2,H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,het,2,38.9,686.0,célibataire,1.0,0.11,2020-12-01,375.0,761.7760000000001,12270.06665872613
Jacobs,Sandra,56,161.9,76.6,H,non,aucun,Bretagne,oui,oui,het,2,186.0,3780.0,célibataire,3.0,0.5,2025-02-24,502.0,613.574,1147.9499177521698
Sherman,Dennis,66,171.9,52.5,F,oui,bac,Auvergne-Rhône-Alpes,non,oui,het,1,211.9,4590.0,célibataire,5.0,0.84,2025-05-07,578.0,766.4380000000001,25361.899125577955
Simmons,Jill,56,187.2,87.3,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,het,1,201.4,1762.0,divorcé,2.0,0.04,2024-11-02,570.0,913.01,8395.400810142952
Sanders,Tony,45,169.5,52.3,H,non,aucun,Occitanie,oui,oui,het,1,307.4,743.0,célibataire,4.0,0.63,2024-03-31,713.0,820.5380000000001,1991.076420631058
Beasley,Danielle,52,154.6,78.0,F,non,bac+2,Occitanie,oui,oui,het,3,357.1,2175.0,veuf,2.0,0.95,2020-08-05,649.0,930.418,14002.865498517638
Williams,Jean,22,170.9,94.5,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,het,3,377.3,2106.0,célibataire,5.0,0.04,2024-01-17,578.0,940.976,24090.770841341116
Bryan,Elizabeth,56,165.2,94.1,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,non,het,1,263.3,1714.0,marié,2.0,0.98,2022-08-23,342.0,755.18,500.0
English,Tristan,60,162.9,45.2,H,oui,master,Auvergne-Rhône-Alpes,non,non,het,3,426.1,4205.0,célibataire,5.0,0.32,2024-02-22,507.0,959.2,8633.339757804348
Lawrence,Katelyn,40,184.2,64.7,H,non,master,Auvergne-Rhône-Alpes,non,oui,het,2,317.4,1022.0,marié,2.0,0.83,2022-05-02,570.0,1181.95,22176.96596468062
Mclaughlin,Lee,54,170.7,77.7,F,non,bac+2,Île-de-France,oui,non,het,2,200.2,2332.0,divorcé,0.0,0.38,2021-04-27,560.0,717.2379999999999,500.0
Brown,Tina,26,182.1,63.0,H,non,bac+2,Île-de-France,oui,non,het,4,224.1,3667.0,célibataire,1.0,0.17,2024-11-14,582.0,942.7860000000001,500.0
Williams,Spencer,57,165.2,71.6,F,oui,aucun,Occitanie,oui,non,het,1,251.4,3765.0,divorcé,3.0,0.29,2020-01-02,575.0,783.996,500.0
Greene,Michael,59,170.6,76.0,F,oui,bac,Île-de-France,oui,oui,het,2,128.1,1640.0,divorcé,4.0,0.45,2022-06-15,573.0,960.6719999999999,3720.305007666426
Andrade,Jacob,71,161.6,67.2,H,non,doctorat,Île-de-France,oui,oui,het,0,206.4,2077.0,veuf,5.0,0.43,2021-01-15,496.0,1132.9899999999998,6069.528722438526
Mathis,Michael,74,158.5,66.9,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,het,3,282.3,2456.0,veuf,2.0,0.09,2025-03-10,570.0,702.722,9295.06139134704
Guzman,Michael,52,185.0,49.1,F,oui,doctorat,Hauts-de-France,non,oui,hom,1,345.4,2380.0,célibataire,4.0,0.96,2022-02-27,573.0,754.406,25969.31390156188
Ray,Elizabeth,55,163.0,63.6,H,oui,bac,Hauts-de-France,non,oui,het,0,279.9,3773.0,veuf,2.0,0.56,2024-04-03,570.0,630.172,500.0
Rodriguez,Robert,56,163.9,62.5,F,oui,aucun,Hauts-de-France,non,non,het,1,299.6,2556.0,veuf,0.0,0.21,2024-10-11,322.0,958.3460000000001,500.0
Hughes,Barbara,60,150.1,61.5,F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,het,2,424.2,1498.0,marié,1.0,0.25,2024-10-07,483.0,991.36,500.0
Johnson,Jennifer,33,172.6,72.0,F,non,master,Bretagne,non,oui,het,1,122.7,3673.0,célibataire,3.0,0.59,2022-04-14,604.0,842.32,15447.487891752608
Roman,Steven,46,170.3,70.7,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,hom,2,269.6,1517.0,veuf,2.0,0.21,2021-02-17,570.0,871.75,33039.482262154605
Rubio,William,56,168.4,59.2,H,non,bac,Occitanie,non,oui,het,2,148.3,942.0,divorcé,5.0,0.4,2022-11-02,578.0,532.47,2814.291214417311
Morales,Amy,45,165.8,59.3,H,oui,bac,Hauts-de-France,non,non,het,5,264.2,3369.0,marié,2.0,0.38,2020-11-12,570.0,674.35,6485.522432905486
Hunter,Anthony,71,163.0,95.4,F,non,aucun,Occitanie,non,oui,het,0,460.5,2437.0,célibataire,3.0,0.06,2024-01-23,746.0,663.9379999999999,500.0
Walsh,Eric,38,152.1,57.9,F,oui,aucun,Auvergne-Rhône-Alpes,non,non,het,1,321.1,1198.0,divorcé,0.0,0.26,2021-12-05,485.0,937.9380000000001,500.0
