nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalite_francaise,orientation_sexuelle,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret,smoker_num,sexe_num,sport_licence_num,nationalite_francaise_num,orientation_sexuelle_num,niveau_etude_num,region_num
Davila,Kathleen,42,169.7,63.4,H,oui,master,Provence-Alpes-Côte d’Azur,non,non,het,2,19.5,2091.0,célibataire,3.0,0.92,2020-10-17,575.0,1010.6120000000001,500.0,0,0,1,0,1,4,5
Deleon,James,31,163.8,64.9,H,oui,doctorat,Bretagne,oui,oui,hom,1,238.7,1540.0,divorcé,3.0,0.9,2023-08-29,818.0,980.9780000000001,22143.694141361557,1,0,1,1,0,5,3
Hernandez,Eric,68,165.0,52.8,H,oui,master,Normandie,oui,non,het,3,220.7,1684.0,marié,4.0,0.36,2023-09-24,414.0,740.572,4324.856803286908,1,0,1,0,1,4,7
Roberson,Emily,57,171.9,36.1,H,oui,aucun,Bretagne,non,non,het,2,202.5,3140.0,veuf,0.0,0.37,2020-11-17,629.0,708.0880000000001,500.0,0,0,1,0,1,1,3
Watts,Sara,35,181.1,63.5,F,non,aucun,Normandie,oui,oui,het,0,344.3,4089.0,marié,2.0,0.96,2020-09-14,516.0,709.0939999999999,500.0,1,1,0,1,1,1,7
Brown,Lauren,25,187.4,43.0,H,non,master,Hauts-de-France,oui,non,het,-1,287.2,3158.0,célibataire,3.0,0.42,2021-12-16,575.0,670.704,500.0,1,0,0,0,1,4,4
Black,Judith,34,160.0,84.2,H,non,aucun,Île-de-France,non,oui,het,1,215.1,1959.0,célibataire,3.0,0.54,2025-05-29,575.0,773.356,10854.07936402302,0,0,0,1,1,1,1
White,Joanna,26,173.2,51.2,H,oui,aucun,Bretagne,oui,oui,het,3,83.6,1824.0,célibataire,1.0,0.2,2020-07-28,582.0,881.48,8454.336007043335,1,0,1,1,1,1,3
Alvarado,Jordan,55,180.5,99.2,F,non,master,Île-de-France,oui,oui,het,2,329.2,500.0,marié,2.0,0.96,2021-05-17,458.0,675.32,6793.452284371787,1,1,0,1,1,4,1
Williams,Austin,28,186.2,62.2,H,non,bac,Île-de-France,non,non,het,2,260.4,1447.0,veuf,5.0,0.4,2021-12-10,809.0,332.49399999999997,500.0,0,0,0,0,1,2,1
Evans,Zachary,66,186.1,85.4,H,non,master,Hauts-de-France,oui,non,het,2,266.0,2886.0,divorcé,0.0,0.83,2020-12-22,560.0,986.11,500.0,1,0,0,0,1,4,4
Rodriguez,Terri,74,179.0,53.9,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,2,188.7,867.0,marié,4.0,0.78,2023-02-16,573.0,734.1319999999998,10699.741376669954,1,0,1,1,1,2,5
Fuller,Carol,59,176.7,68.4,F,non,doctorat,Auvergne-Rhône-Alpes,oui,non,hom,2,469.5,3307.0,divorcé,5.0,0.25,2023-11-20,578.0,782.188,500.0,1,1,0,0,0,5,2
Gibson,Lisa,48,173.1,69.6,F,oui,doctorat,Corse,oui,oui,het,0,250.4,3327.0,célibataire,4.0,0.24,2024-02-19,326.0,787.2900000000001,931.2893411604468,1,1,1,1,1,5,8
Moran,Christian,23,173.4,53.3,F,non,doctorat,Occitanie,non,non,het,0,174.7,1878.0,célibataire,5.0,0.89,2024-08-14,578.0,759.104,500.0,0,1,0,0,1,5,6
Wilson,Benjamin,56,173.0,50.5,H,non,bac+2,Corse,non,oui,het,0,302.9,3511.0,divorcé,0.0,0.35,2025-05-28,560.0,667.42,6275.995657375264,0,0,0,1,1,3,8
Mathews,Evelyn,54,160.4,52.9,F,oui,bac,Corse,non,non,het,2,192.3,2292.0,veuf,1.0,0.09,2024-04-22,582.0,1225.01,500.0,0,1,1,0,1,2,8
Williams,Benjamin,39,165.8,68.7,H,oui,aucun,Hauts-de-France,oui,oui,het,2,337.8,4301.0,divorcé,1.0,0.82,2021-02-17,570.0,972.1659999999999,6527.309924135625,1,0,1,1,1,1,4
Hill,Zachary,38,179.0,90.4,F,non,bac,Auvergne-Rhône-Alpes,non,non,het,0,251.6,3880.0,marié,3.0,0.61,2020-08-07,575.0,861.302,500.0,0,1,0,0,1,2,2
